score	text
5305	What word in the dictionary is always spelled incorrectly? Incorrectly
5299	Yesterday I spotted an albino dalmatian It was the least I could do for him
5287	6 was afraid of 7 because 7 8 9. But why did 7 eat 9? It heard you were supposed to have three squared meals a day.
5275	My 17 YO Son is ready for kids: B: "Hey dad, how many animals can jump higher than a building?" Me: "I Don't know." B: "All of them, buildings can't jump." Me: ಠ_ಠ
5271	Why don't cows wear flip flops? They lactose.
5230	I said to my dad 'What rhymes with orange?' He said, no it doesn't.
5163	I told my wife she drew her eyebrows abit high today she seemed suprised
5149	I can't take my dog to the pond anymore because the ducks keeps attacking him. I guess that's what I get for buying a pure bread dog.
5139	If you build a man a fire he will be warm for a day. If you set a man on fire he will be warm for the rest of his life.
5137	If you're born on Earth Day, then it's your B-Earth-Day. Ba-dum-tss - Yes, I'm born on Earth Day - Yes, I also posted this in r/Showerthoughts - Yes, no one asked for the above answers.
5130	I went to my backyard and saw a bird of prey eating avocado toast. It was a millennial falcon.
5126	Why would T. Rex struggle to play the piano? They're extinct.
5115	"Son, I found a condom in your room." "Gee thanks, Grandpa!" "Why are you calling me Grandpa?" "Because I couldn't find it yesterday."
5109	I googled "cigarette lighter" and got 150000 matches. Now I don't need the lighter.
5106	[At the wedding] Priest: Repeat after me... Groom: After me.. Priest, looking at bride: Is he serious? Bride: No, his name is Mike.
5057	Just dad joked my dad. My dad was feeling his wallet in his back pocket and says, "My wallet is cold." I said, "Maybe they froze all your bank accounts?" EDIT: A word.
5043	I dated a one legged girl who worked at a brewery. She was in charge of the hops.
5043	The easiest word to spell People have always told me that icy is the easiest word to spell, and now that I think about it, i see why
5037	Mike Tyson was thinking the other day. He yelled out, "Thomeone help me! I can't thwim."
5030	Did you know that Stephen King's son is Joe? I'm not joking but he is
4997	The punchline comes before the question. What's the worst part about time traveling jokes?
4920	What do you call a fat psychic? A four-chin teller.
4890	I farted in front of my son... He said "That sounded like a duck!" I told him "That's because I have a butt quack"
4875	My wife found out I was cheating on her, after she found all the letters I was hiding... She got so mad and said she's never playing Scrabble with me again...
4874	Chinese takeout: $11.77. Price of gas to get there: $1.90. Making it all the way home and realizing that they forgot one of the containers: Riceless.
4864	I got fired from the frozen orange juice factory today. I just couldn't concentrate.
4861	Ever since I installed Adblocker, I have been severely depressed. Hot singles in my area are no longer interested in me.
4859	What do the Romans use to cut their pizza? lil Ceasers
4845	My Sister Bet Me $15 I Couldn't Build a Car Out Of Spaghetti You should of seen her face as I drove pasta.
4841	You can actually tell the sex of an ant by dropping it in water. If they float, they're boy ant.
4838	Dad (having an heart attack): Son call me an ambulance... Son actually calls an ambulance. Dad dies of disappointment.
4810	I can't remember what 51, 6 and 500 are in roman numerals. I'm LIVID
4798	Fast and furious 10's name has been leaked. Fas10 your seatbelts I apologise
4785	When does a joke become a dad joke? When the punchline becomes apparent.
4782	Sometimes when birds fly, they fly in a V shape, and sometimes one side of that V is longer than the other. You know why that is? There's more birds on that side.
4770	What do you call Nikki Minaj's butt crack? Silicon Valley.
4753	I refused to believe my dad got fired as a road worker for theft. But when I got home, all the signs were there.
4750	A pizza walks into a bar and orders a drink. The bartender says... "Sorry, we dont serve food here."
4746	My GPS just told me to turn around. Now I can't see where I'm driving.
4740	I told my girlfriend she was drawing her eyebrows on too high the other day, she looked surprised.
4738	"Okay Fred, Shaggy and Daphne, can you name an animal that lives in Africa and has a large horn on its face?" "Rhino!" "We know you know the answer, Scooby, but it's not your turn."
4731	I heard that you can now print a gun off a 3D printer, but I am not impressed. I've had a Canon printer for years.
4720	My daughter asked if I am going to die someday. I said "Don't worry sweetheart. I promise I'll be alive for the rest of my life." She looked relieved.
4715	I asked my wife what she wanted for Christmas She said to me "nothing would make me happier than a diamond necklace." So I bought her nothing
4713	I ran into the office this morning and switched the m and n keys on as many keyboards as I could. Some might call me a monster but The rest are definitely goimg to call ne a nomster.
4710	I love the rotation of the Earth, It really makes my day.
4697	Friend: Ur mom gay Me: Which one
4690	I don't put an orange in my beer often Except maybe once in a Blue Moon
4669	After I gave my dad his 50th birthday card, he said to me: "One would have been enough."
4660	SpongeBob may be the main character of the show. But Patrick is the star.
4659	The doctor told me to get in a bathtub full of milk to soothe my sunburn, I asked him 'pasteurized?' he said... 'No, just up to your neck'
4650	If Americans switched from pounds to kilograms overnight. There would be mass confusion
4641	Have you heard of atheism? It's a non-prophet organization
4641	Bee keepers have the prettiest eyes Because beauty is in the eye of the bee holder
4630	I got dishonourably discharged from the Navy yesterday for accidentally boarding a different vessel. Oops, wrong sub.
4608	A guy walks into a bar and takes a seat... The bartender says "Hey! Bring that back"
4605	When my mom was in labor, my head got stuck in her, and the midwife had to pull me out. That's how excited I was to see my little brother.
4601	Why did the lifeguard not rescue the hippy? He was too far out man!
4585	9 yo daughter: "You know, dad; I think I have your sense of humour." Me (rather pleased): "Really?" Her: "Yes. Would you like it back?"
4580	Why does Yoda believe that it's five who is afraid of seven? Because 6 7 8.
4579	Where do poor Italians live? In the spaghetto. *everyone is facepalming* ... Spaget it? - My dad yesterday evening.
4571	I am terrified of elevators I'm going to start taking steps to avoid them
4570	What Sith Lord immobilizes his opponents instead of killing them? Darth Ritis.
4565	Why don't blind people go skydiving It scares the dog
4560	What do you call it when a chameleon can't change colors anymore? A reptile dysfunction
4541	I don't think Jeremy Clarkson or Richard Hammond know what they're doing... But James May
4519	Why can't T-Rexes clap their hands? Cause they're extinct.
4517	What did the drummer call his two twin daughters? Anna one, Anna two...
4486	Here's one in spanish UNO.
4475	My son's Math Teacher called him average. I think he's mean.
4472	When I noticed "HI" in the alphabet, I thought someone was actually going to be my friend... Then I saw the next two letters...
4470	I like my ceiling... It's not the best, but it's up there
4437	Did you hear about the chemist who was arrested? He threw sodium chloride at his wife, that's a salt.
4426	What's the difference between a cat and a comma One has claws at the end of it's paws, one is a pause at the end of a clause
4426	Why does Waldo wear a striped shirt? Well, he sure doesn't want to be spotted
4408	I used to be a member of the secret cooking society... But they kicked me out for spilling the beans...
4406	Space heaters are the perfect housewarming gifts. Posted this in r/ShowerThoughts but it got taken down, despite the fact that it's 100% truth.
4404	I went to the zoo yesterday and saw a baguette in a cage. The zookeeper said it was bread in captivity.
4403	My wife insists that guys in camouflage look sexy. I just don't see it.
4384	"Doc, I feel constopetid!!" Doctor: I think you mean constipated. Man: No, I had a vowel movement.
4383	My wife is a body builder. Yep, she's pregnant.
4377	A genie asked, "What's your first wish?" Steve answered, "I wish I was rich." And the genie said, "What's your second wish, Rich?"
4375	I entered a dad joke competition and won $1000 It was a grand dad joke
4363	I killed a chicken last week Now I Think I'm getting haunted by a poultrygeist
4345	What's the best kind of pan to make sushi in? Japan
4332	My girlfriend and I haven't gone to the gym in over a year. Our relationship isn't working out.
4331	I heard Kim Jong Un's father died. I didn't even know he was il
4325	I said it once and I'll say it again. it
4319	There was a shooting today, The suspect used a starting pistol. They say it was race related
4311	What do you call a row of people lifting mozzarella? A cheesy pick up line.
4302	"What day is today, Adam?" "For the last time, it's Christmas, Eve." Edit: Thanks for so much love. Merry Xmas!
4301	Why does the Norway navy have barcodes on the side of their boats? So when they come back to port they can... Scandinavian
4295	My girlfriend changed a lot since she became vegan. It's like I've never seen herbivore.
4294	Never make fun of fat girls with lisps. They're thick and tired of it.
4292	I'm pregnant. My boyfriend just made his first dad joke I was feeling morning sick and so he told our baby: You're grounded. Go to your womb. I rolled my eyes.
4283	Have you all heard about the top secret bakery? I didn't think so, it is on a knead to dough basis.
4258	Back in 1993, I inherited a small fortune from my grandfather. It said "A window of opportunity won't open by itself." The lucky numbers were 2, 4, 11, 12, 35, and 39.
4238	I went to go download the Communist Manifesto on Audible ...but the reviews said it's only good on paper
4231	Her: Why are you talking to yourself? Me: Sometimes I need expert advice.
4225	I am NOT a grammar Nazi. I prefer the term alt-write.
4213	Last night my wife and I watched three movies back to back Luckily, I was the one facing the tv.
4191	The USA turns 241 years old this July 4th... ... which means that it will go back to being indivisible
4180	If you're American going into the bathroom and American coming out, what are you in the bathroom? European
4163	What happens when you cross an agnostic, a dyslexic, and an insomniac? Someone who stays up all night wondering if there really is a dog.
4134	Not bragging but I made six figures last year... ....so they named me the year's worst employee at the toy factory.
4133	How do you drown a hipster? Throw them in the mainstream
4123	Why do scuba divers fall off the boat backwards? If they fell off forwards, they'd just land in the boat.
4093	"Dad, why do you always wrap my birthday gifts in this weird fabric?" Dad: I just wanted to.... make my presents felt.
4019	My buddy asked if he could crash on my couch tonight... I had to explain to him that I was married now and that's where I sleep.
4011	All my friends claim that I'm the cheapest person that they have ever met. I'm not buying it.
4004	A mime broke his left arm in a bar fight and got arrested. He still has the right to remain silent.
4003	We all know where the Big Apple is but does anyone know where the Minneapolis?
4002	My son is starting school soon and thinks the other children will pick on him because of his name... I said, "Don't be silly, Someoneyourownsize! Why would anyone pick on you?!"
3999	Why does it take a pirate so long to learn the alphabet? Because he spends years at C!
3997	How many ears does Spock have? Three: the left ear, the right ear, and the final frontier.
3985	I got a sunburn (After being outside for 2 hours) Daughter: Daddy, why didn't I get a sunburn? Me: You can't, honey. Daughter: Really? Me: You can only get a daughterburn.
3983	Germans have a word for everything.. It is "alles".
3982	I saw an ad for burial plots and thought to myself That's the last thing I need.
3982	To whoever stole my thesaurus... ...you made my day bad. I hope bad things happen to you. You're a bad person.
3982	This morning I dropped my son off at school and said:"Bye son" He replied: "Buffalo". It took me about 5 seconds to get it.
3979	I just found out I was dating a communist I should have noticed the red flags sooner
3956	Did you know the first French fries weren't actually cooked in France? They were cooked in Greece
3952	I tried to get insurance for my camp site, but the company refused. They said, "If your tent gets destroyed, you won't be covered."
3951	You know Bruce Lee was fast, but he had an even faster brother... Sudden Lee.
3941	Iron Man and the Silver Surfer is teaming up for the next movie to fight crime. They are alloys.
3933	What do you call glasses for your balls? Spectacles
3930	Why does the sun have no need to go to college? It already has 27 million degrees...
3909	Did you know french fries weren't actually cooked in France? They were cooked in Greece.
3899	Why was the archaeologist so depressed? Because his life was in ruins
3893	I was caught by a gang of mimes. They performed unspeakable acts on me...
3883	My boss is 100% dad. Me: hey I'm going to be a bit late. I've been crawling on the highway and I'm nowhere near my exit still. Dadboss: well there's your problem. Try driving instead of crawling.
3874	How to pirate any movie you like Rate it 3.14
3873	My friend just told me that he can print a gun using his 3D printer, but I'm not impressed. I've had a Canon printer for years.
3873	What was Oman called before it officially become a nation? **Oboy**
3861	small babies may be delivered by a stork but larger babies are delivered by a crane
3859	What does "IDK" mean? I keep asking people, but they don't know either.
3846	My wife recommended I do some light reading to relax at the end of the day... Not really relaxing as my eyes are in pain, but I managed to make out "60 Watts - Made in China".
3834	A man goes to a zoo, but the only animal in the entire zoo is a dog. It was a shih tzu.
3833	Last year, my friend told me he's quitting his job to pursue a miming career. I haven't heard from him since.
3830	Cop: "I'm sorry to say this sir, but it looks like your wife has been hit by a truck." Dad: "Yeah, but she has a great personality."
3829	We can't take our dog to the pond anymore because the ducks keep attacking him... Guess that's what we get for buying a pure bread dog...
3828	[German] Und was ist, wenn der neue Rammstein-Song auf dem Index landet? Dann kannst du ihn dir nur noch von der Ursula Leyen.
3826	What days are the strongest? Saturday and Sunday, the rest are week days.
3801	Our new librarian is very polite and I think she is Italian... I've just taken a book back that was months overdue but, rather than charging me, she just said, "That's-a-fine."
3799	it all The title says it all.
3794	What is the fastest liquid on earth??? Milk, because it's pasteurized before you see it
3771	I've started a business making boats in my attic... Sails are going through the roof.
3762	Doctor: Did you know that you have a serious problem vocalizing your emotions? Man: Can't say that I'm surprised.
3758	Yesterday I spotted an albino Dalmatian. It was the least I could have done for him.
3738	I thought I won the argument with my wife as to how to arrange the dining room furniture. But when I got home, the tables were turned .
3726	My friend looked at my pregnant wife and said: "I wonder if it isn't really hot in there, for the baby" I replied: "It's likely womb-temperature."
3724	The CEO of Pepsi was fired this morning He tested positive for Coke.
3711	I recently read that "icy" was the easiest word to spell. I didn't understand at first, but now I see why.
3703	If you need to start a fire by rubbing two sticks together, make sure they're the same... Then you'll have a match...
3691	I have kleptomania, but when when it gets bad... I take something for it.
3684	Son: Where are my sunglasses? Dad: I don't know... where are my dadglasses? Courtesy of my dad, from just a few minutes ago.
3682	Why is 'dark' spelled with a k and not c? Because you can't see in the dark...
3674	I just got kicked out of Karaoke night for singing "Danger Zone" six times in a row... They said I exceeded my maximum number of Loggins attempts.
3672	What do North Koreans use for measuring liquids? Supreme liters.
3655	Interviewer asked me if I'd be a good waiter... Well, you could say I bring a lot to the table.
3655	I have a problem with my new anorexic girlfriend.. I'm starting to see less and less of her
3652	A new Tesla doesn't come with the new car smell... It comes with an Elon Musk.
3649	It's really hard to say what my wife does for a living. She sells sea shells by the sea shore.
3643	My dad and I were out for steak last night when the manager came around and asked "How did you find your steak?" Dad goes, "I just moved the potato and there it was!"
3623	Why won't swords go obsolete? They are cutting edge technology.
3620	My wife tells my son (wearing a green shirt) he looks like a pickle... My son: "I will take that as a condiment"
3609	Why do dentists call them "Dental x-rays" when they could just call them... ...Tooth pics
3608	Why was the wizard's girlfriend always covered in hickeys? because he's a neck romancer.
3576	How do you make a Pirate angry? Take the 'P' out of him...
3571	Got my son with this one... Me: "I know a guy that talks like an owl" Son: "Who?" pause.... than....facepalm!
3570	I asked the librarian if the library had any books about paranoia. She whispered, "They're right behind you..."
3560	My wife asked me, "Why don't you treat me like you did when we were first dating!?" So I took her to dinner and a movie... Then dropped her off at her parents' house.
3534	Why do scuba divers always fall backwards out of boats? It's because if they fell forwards, they'd still be in the boat.
3533	I want to help people spell diarrhea correctly. Prevent irregular vowel movement.
3531	What do you call a girl who refuses to pay her bills? Burnadebt (Just thought of this and I gotta admit...I'm a little bit proud of myself.)
3529	If you were dating a FBI agent and you broke up... he would be your fed ex
3526	You can't fault kid logic I asked my nephew how old his dad was and he replied "six". I said how can he only be six if you're six? He said "because he's only been a dad since I was born"
3520	What do you call someone that steals energy? A joule thief
3475	I wasn't sure how comfortable my new couch would be. But sofa so good.
3446	What kind of insect is hard to understand? A Mumble-bee. I work in the Garden Center at a DIY store and this joke is the best I can come up with ATM lol.
3439	I'm going to name my son Pert and then change his name So whatever he does, he'll be an expert.
3434	My 3yr old daughter got my wife sooo good *while holding a block of cheddar like a camera* Hey mom! Say cheese! *She then flashed her silly grin*
3427	I have a fear of speed bumps... but I'm slowly getting over them
3426	Hillary Clinton may become the first F president. Sorry, I meant female but the emale got deleted.
3422	What do you call a woman standing in the middle of a tennis court? Anette
3420	A guy walked into a bar And was disqualified from the limbo contest.
3419	I don't know if my ceiling is the best ceiling. But it's definitely up there.
3418	What's the difference between a hippo and a zippo? One is really heavy, and the other is a little lighter.
3405	It's hard to believe March 12th is already National Pancake Day! It really crêped up on us this year didn't it!
3404	Why do people keep asking me what I'm going to be doing in 5 years? It's not like I have 2020 vision.
3399	My mom teased my dad, he didn't get a sandwhich after his reply. My mom teased my dad by calling him gay. This is how my Dad retaliated. Dad: your ex boyfriend was hot . Mom: which one? Dad: Me﻿
3398	Rick Astley has a collection of every Pixar movie ever And he'll let you borrow any of them. Except one. He's never gonna give you Up.
3384	GF: I love you Me: I love the sequel GF: ....... Me: I love you 2 *cue groans*
3378	TIL that bamboo can grow up to 6 stories tall Personally, I had always thought it could grow up to 7 stories tall, but that's another story.
3376	I just found out Michael Stipe from R.E.M. died, and only two people know.. That's me and the coroner.
3374	If the stork is the bird of birth, what's the bird of birth control? A swallow.
3354	People used to tell me I was going deaf... ...but I haven't heard anyone say that in a while. Edit: You kids have made my day. I'd like to thank all of you for this marvelous chain of dadjokes.
3346	My bald surgeon is the most charismatic man I've ever met He's a real smooth operator.
3338	What do you call a snake thats 3.14 meters long? A πthon
3335	You know why I like you guys? We're all on the same page.
3334	Wife, yelling at earbuds: "Why won't you just untangle?!!" "They'd rather knot."
3318	Why don't they put advertisement on the hulk He's basically a giant banner
3317	My friend's dissertation was on nerds who love palindromes. He is now Dr.Awkward.
3303	Where does a dad keep all his jokes? The dadabase
3288	"what part of your body would you get rid off?" "My spine, It holds me back."
3288	What do they call fist bumps in the U.K.? British Pounds
3278	I'm half Irish and half Jewish, so... I'm drinking if you're buying
3273	What do they call Miley Cyrus in Europe? Kilometery Cyrus
3270	A Father in Iraq gifted his daughter a new purse for her birthday. She replied "Thanks for the Baghdad"
3257	The worst music albums always cost $19.95 so when you pay, you usually get a nickel back.
3257	DC and Marvel should make a crossover between The Flash and The Incredible Hulk. They could call it "The Fast and the Furious."
3248	What's the difference between unlawful and illegal? Unlawful is against the law. Illegal is just a sick bird.
3245	Told my girlfriend that the wreath she bought was great, but please make sure it doesn't block the doorway. Because then it would be a Great Barrier Wreath.
3238	What do you get when you give five doses of valium to a lizard? A calmer calmer calmer calmer calmer chameleon.
3230	I️ think I'm addicted to Thanksgiving leftovers. My doctor wants me to quit, cold turkey.
3226	a book just fell on my head... i've only got my shelf to blame....
3226	What's Whitney Houston's favorite type of coordination? HAAAAAAAAAAAAAAAAAND EEEEEEEEEEEEEEEEEYEEEEEEEEE
3218	I met a deaf gynecologist today.. Apparently, he reads lips.
3217	Did you hear about the two mummies who farted at the same time? They had a toot in common. Kid loved it and I'm proud of the original content
3213	Why did Winnie the Pooh quit his job writing obituaries? He didn't like being the bear of bad news.
3211	I called to buy tickets for an Elvis tribute act... It was an automated phone system which said, "Press 1 for the money, 2 for the show..."
3205	Just found out that diarrhea is hereditary... ... it runs in your jeans.
3202	TIL any joke can be an erection joke... If you think hard enough. ( ͡° ͜ʖ ͡°)
3196	What's the difference between Dubai and Abu Dhabi? People in Dubai don't like the Flinstones but people from Abu Dhabi Do.
3181	A vegan kept telling me selling meat is gross I said selling fruit and vegetables is grocer
3178	If you need to start a fire by rubbing sticks together, make sure they are the same. Then you'll have a match.
3169	Been a dad for two years, finally posting something on here. Something
3168	What's the similarity between pessimists and people with a phobia of sausages? They both fear the wurst
3163	What do The Titanic and the Sixth Sense have in common? Icy Dead People.
3158	I got a letter saying I had to pay an overdue exorcist bill. They said if I didn't, my house would be repossessed.
3151	My wife told me to stop behaving like a flamingo. That's when I had to put my foot down.
3146	What do you call someone who immigrated to Sweden? an artificial Swedener
3146	My daughter said i could never make a car out of spaghetti. You should've seen the look on her face when i drove pasta.
3145	I hate Russian dolls. They're so full of themselves.
3143	My wife put food in front of our 1.5 yr old She said "say your prayer" He said "Prayer" then just smirked at her So proud right now.
3142	What did Cinderella say when her photos didn't arrive Someday my prints will come
3142	What's the loudest kind of pet? A trumpet
3139	My 6 year old dad joked me My 6 year old son came running into the room and said, "Dad is your shirt blue?" "Yes it is buddy." "Why don't you cheer it up then?" And then he left the room.
3136	I buy all my guns from a guy named "T-Rex" He's a small arms dealer
3128	Did you know that your eyesight actually gets better as you get older? It's called adult supervision.
3127	Breaking News: In the Atlantic Ocean a ship carrying red paint has collided with a ship carrying purple paint It's believed both crews have been marooned
3127	My girlfriend said, "I adore you." So I responded, "I agate you." She was confused, and after a pause she goes, "I don't get it..." "A gate is bigger than a door, babe."
3124	A dog can't read an MRI. But catscan.
3116	What do you call bears with no ears? B
3111	Why did Victoria get fired? It's Victoria's Secret.
3101	How'd I get from Iraq to Pakistan? Iran
3099	You know what's really odd? Numbers not divisible by two
3098	At the zoo i said a mildly innapropriate Dad Joke to my wife and 12 year old son. The zoo tour guide told us that one of the snakes was sick. I blurted out "he must have a reptile dysfunction".
3088	I met an Asian girl today with the last name of "China" It was her made-in name
3080	Star Wars 7PM show last night, a dad behind me was saving four seats with his daughter... ...and every time someone approached him he repeated "these aren't the seats you're looking for."
3074	My kid asked me, "Dad, what are condoms used for?" I said, "Usually to avoid answering questions like these."
3074	Wife: "I like your new beard." Me: "It's growing on me, too."
3064	Burned my Hawaiian pizza today.. Should have cooked it at aloha temperature.
3062	My dad never texts me. Today at 7:26 AM, he sends this "I have kleptomania. Sometimes when it gets really bad, I take something for it."
3059	Man, I really love my furniture... ...me and my recliner go way back.
3056	What do you call a parade of rabbits hopping backwards? A receding hare-line!
3056	Wendy Williams' career must be playing Oregon Trail... Because it's about to die from dissin' Terry.
3055	Where do fishes keep their money? In the river banks.
3054	My son swallowed some coins and was taken to hospital... When I asked how he was, the nurse said "No change yet."
3041	You know i can cut a piece of wood in half just by looking at it? It's true, I saw it with my own eyes
3040	My dad sent me this one out of the blue.. A Mexican magician says he'll disappear on the count of three. Uno... Dos... *Poof* He disappeared... Without a tres.
3037	I just found out my girlfriend gave me an STD I'm gonorrhea-valuate our relationship
3031	To the guy that invented zero: Thanks for nothing.
3029	GF: "You made good time today" Me: "I only use the best ingredients" *gf gives me a look* GF: "Ingredients for time?" Me: "I never use tardy sauce" *gf leaves room*
3027	I asked my girlfriend what book she was reading She replied "It's a mystery." I said "Doesn't it say on the cover?" Cue eye rolling.
3020	Why is Kim Jong-un's library so big ? Because he is supreme reader
3007	Why does leather armor make you better at sneaking? Because it's made of hide.
2993	How I proposed to my girlfriend today Me: knock knock. Her: who's there? Me: Mary. Her: Mary who? Me: Marry Me. Edit: she did say yes
2986	I used to be a banker But I lost interest
2986	If your house doesn't have house numbers on it, you need to address that situation.
2985	What concert costs only 45 cents? 50 cent feat. Nickelback. EDIT: Wow, I really didn't expect this to blow up, thanks guys!
2972	So husband and I are trying for a baby Told him off for making dad jokes and said 'I'm not pregnant yet!' His response? 'Hi not pregnant yet, I'm not dad yet'
2963	What weighs less than blue ? Light blue
2963	I wanted to tell you my chemistry joke.... but I was afraid that I'd get the wrong reaction.
2956	Why can't Harry Potter tell the difference between his cooking pot and his best friend? They're both cauldron.
2955	I figured out what the next fast and furious movie will be called Fast 10: your seatbelts
2954	How do you stop Canadian bacon from curling in the frying pan? You take away its tiny little broom!
2951	If I steal a Tesla... ... is it called an Edison?
2934	I don't understand why people pick their noses... I was born with mine.
2931	I find white boards interesting They're quite remarkable.
2927	What is the difference between a hippo and a zippo? One is really heavy and the other is a little lighter.
2919	When I was walking down the street, I ran into a celebrity with a Mohawk and jewelry. He looked at me and said, "I piy the fool!" I said, "Hey, you missed a T."
2914	I heard Jeremy Clarkson isn't coming back to Top Gear But James May.
2908	Poop jokes aren't my favorite kind of jokes... ...but they're a solid number two.
2905	Why hasn't Abraham Lincoln ever been charged with a crime? He's in a cent.
2900	What did the pirate say when he turned 80? Aye matey
2898	If H2O is water, what is H2O4? Drinking.
2895	Why are portholes round? So the water doesn't hit you sqaure in the face.
2890	I bought a new weed-whacker today... It's cutting hedge technology...
2882	I threw a fake plastic turd at my wife's head while she was in the shower. Maybe now she'll stop complaining that she's out of sham poo.
2881	Smoking will kill you. Bacon will kill you. But smoking bacon will cure it.
2881	I'm trying to be a sociopath, but I'm not that great in manipulating people. I'm more of a so-so path.
2879	Got a girl at a party... Her: Yeah, I've actually been dancing since I was two years old! Me: Wow, thats so impressive. You must be so tired by now! Groans were had by both parties
2864	Why did the blind man fall into a well? Because he couldn't see that well.
2859	What's Fast and the furious 10 going to be called? Fast 10: your seatbelts.
2854	My dad never loved me as a child. I don't blame him though, considering I wasn't born until he was about 30 years old..
2849	Slightly peeved that the makers of the shampoo "Head and Shoulders"... ...have not followed up with a bodywash called, "Knees and toes."
2845	There's a fine line between a numerator and a denominator Only a fraction of you will get this
2841	So a photon gets on a plane and the stewardess asks him if he has any luggage And he says no, I'm traveling light.
2832	If there are security guards outside of a Samsung store does that mean they are Guardians of the Galaxy?
2831	I celebrate 4/20 on January 5th, because I know how to reduce fractions unlike the rest of you morons [xpost /r/trees] This joke caters to the lowest common denominator.
2822	If money doesn't doesn't grow on trees Why do banks have branches?!?
2822	My girlfriend didn't even see it coming. GF: I think the can opener is broken Me: So it's a **can't opener**
2818	Watching the Olympics with my Wife She asked about the girl on screen getting ready for her routine: "Is she Russian?" To which I replied : "No she's taking her time" The eye roll was fantastic.
2818	If I'm not actually a father myself, can I tell Dad jokes? Cuz he could really use a laugh right now.
2817	What is the difference between a Hippo and a Zippo? A Hippo is really heavy, but a Zippo is a little lighter.
2811	What did the sorority girl say when she lost her pen? "I literally cannot even write now!"
2800	My 9-yo. got me. Him: I like to start off my showers with cold water. Me: Really? You take cold showers? For how long? Him: Just until the water warms up. Then I get in. ...well done, son. Well done.
2776	Why do cows wear bells Cause their horns don't work
2774	Like most people my age... I'm 45...
2763	What happened to frog who parked illegally? ... He got toad
2760	What language do bridges speak? Spanish.
2759	If my son became a priest......... Would I call him "Father"?
2755	My mom dadjoked dad I asked my dad what's the hardest part about being a lefty? Mom immediately exclaims: "HE'S NEVER RIGHT!"
2753	What goes "ooh ooh"? A cow with no lips.
2737	Did you hear about the cheese factory that exploded in France? There was nothing left but de Brie
2724	So my dog used to chase people on bikes a lot... it got so bad that I finally had to take his bike away
2723	Told my dad I needed '00 flour' for baking "What's the difference? Does it have a licence to mill?" It's an awful joke, but live and let rye.
2722	Why did Bambi's mom take so long to die? She was holding on for deer life.
2714	Today, I'd like to give thanks to the minus sign Thanks for making a difference
2710	I have a plan to chill myself to -273.15 Celsius - My friends say I'm crazy... ...But I think I'll be 0K.
2702	A man tried to sell me a coffin today... I told him that's the last thing I need.
2702	My wife asked if I was going to yoga with her "Namaste home today."
2686	A guy bought his friend an elephant for his room The friend said "thanks". The guy said "don't mention it".
2683	Whoever stole my copy of Microsoft Office, I will track you down... You have my Word.
2682	I said to my kids, "Never let anyone tell you what you can and can't do!" "Take Beethoven for example, they told him he could not be a musician because he was deaf...but he didn't listen!"
2682	Dad jokes. And then he laughs.
2682	My dad is an old hippie, this was his thoughts on the 70s "I used to do drugs in the 70s, now I don't care what the temperature is"
2678	I lived in a houseboat for a while, and started seeing the girl next door. Eventually we drifted apart.
2675	I heard Optimus Prime is writing a book. It's an Autobotography. My kids didn't think it was funny. Thought you guys might get a good groan out of it.
2671	I asked my friend why did he walk away from his last job. He said that his wage was so low he couldn't afford a car.
2671	What did Arnold Schwarzenegger say when asked if he wanted to upgrade to Windows 10 I still love vista, baby
2664	Your Indian restaurant is naan profit? My Vietnamese is pho profit.
2662	I got fired from my last job even though I always gave 100%. Apparently that's not how you grade exams.
2655	Why did the scarecrow get an award? Because he was out standing in his field. It's a tough job but hay it's in his jeans.
2652	I have a chicken proof lawn... Its impeccable...
2649	"Hey, Seattle, wanna win the Super Bowl?" "No, thanks. We'll pass."
2645	I used to work at a calandar factory... I was fired for taking a couple days off
2644	My wife told me to stop singing Wonderwall.... I said maybe
2642	Today a girl said she recognized me from vegetarian club. However I'm sure I've never met herbivore.
2642	The best oriental dad pun. My dad was born in Japan. We're an average looking white family. My dad says he doesn't look Asian because when he crossed the ocean he became disoriented.
2627	You know those silly hacker movies where they're hacking so hard they type on two keyboards at once? Such blatant stereo-typing
2617	A hungry traveller stopped at a monastery and was taken to the kitchens where a brother is frying chips... "Are you the friar?" he asked. The brother replied "No. I'm the chip monk."
2612	I don't always tell dad jokes... ...but when I do, he laughs.
2612	The new dog humped my wife's leg for the first time... She yelled, "Get him off. Get him off!" And I said, "I don't think we want to reward that kind of behavior."
2610	I don't generally tell dad jokes... ... but when I do, he still doesn't laugh.
2598	In what state do you watch a priest, sneeze, and sit down? massachusetts. It gets worse. My kids and I have a ton of these for different states. Should it be one thread?
2595	I heard that Rick Astley will lend you any title from his collection of Pixar movies except one He's never gonna give you "Up" Courtesy of my dad, of course
2593	Sometimes I'll just end a sentence with "No pun intended" When people point out that I didn't make a pun I reply, "Yeah, and I didn't intend to."
2578	Why do the numbers 3 and 5 make such a great team? Because together they thrive.
2576	A really bad impressionist walks into a bar. The bartender says, "Why the wrong face?"
2574	My son told me off today because I'm always turning things into a joke... "So have I made myself clear?" he said. I replied, "No, I can still see you!"
2571	My neighbor blamed my gravel for making him fall... But it was his own dumb asphalt...
2570	Why was Pavlov's hair so soft? Classical conditioning.
2569	If Jesus was real they wouldn't call it the crucifixion They would call it crucifact.
